ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10224738,HY411648,9/5/2015 13:30,043XX S WOOD ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,924,9,12,61,08B,1165074,1875917,2015,2/10/2018 15:50,41.81511728,-87.66999956,"(41.815117282, -87.669999562)"
10224739,HY411615,9/4/2015 11:30,008XX N CENTRAL AVE,870,THEFT,POCKET-PICKING,CTA BUS,FALSE,FALSE,1511,15,29,25,6,1138875,1904869,2015,2/10/2018 15:50,41.89508047,-87.76540045,"(41.895080471, -87.765400451)"
11646166,JC213529,9/1/2018 0:01,082XX S INGLESIDE AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,TRUE,631,6,8,44,6,,,2018,4/6/2019 16:04,,,
10224740,HY411595,9/5/2015 12:45,035XX W BARRY AVE,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),SIDEWALK,TRUE,FALSE,1412,14,35,21,18,1152037,1920384,2015,2/10/2018 15:50,41.93740577,-87.71664969,"(41.937405765, -87.716649687)"
10224741,HY411610,9/5/2015 13:00,0000X N LARAMIE AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1522,15,28,25,08A,1141706,1900086,2015,2/10/2018 15:50,41.88190344,-87.75512115,"(41.881903443, -87.755121152)"
10224742,HY411435,9/5/2015 10:55,082XX S LOOMIS BLVD,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,614,6,21,71,5,1168430,1850165,2015,2/10/2018 15:50,41.74437888,-87.65843064,"(41.744378879, -87.658430635)"
10224743,HY411629,9/4/2015 18:00,021XX W CHURCHILL ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1434,14,32,24,5,1161628,1912157,2015,2/10/2018 15:50,41.9146356,-87.68163091,"(41.914635603, -87.681630909)"
10224744,HY411605,9/5/2015 13:00,025XX W CERMAK RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1034,10,25,31,6,1159734,1889313,2015,9/17/2015 11:37,41.85198889,-87.68921912,"(41.851988885, -87.689219118)"
10224745,HY411654,9/5/2015 11:30,031XX W WASHINGTON BLVD,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,TRUE,1222,12,27,27,3,1155536,1900515,2015,2/10/2018 15:50,41.88281374,-87.70432572,"(41.88281374, -87.704325717)"
11645836,JC212333,5/1/2016 0:25,055XX S ROCKWELL ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,824,8,15,63,11,,,2016,4/6/2019 16:04,,,
10224746,HY411662,9/5/2015 14:00,071XX S PULASKI RD,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,833,8,13,65,6,1150938,1857056,2015,2/10/2018 15:50,41.76364755,-87.72234469,"(41.763647552, -87.722344693)"
10224749,HY411626,9/5/2015 11:00,052XX N MILWAUKEE AVE,460,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,1623,16,45,11,08B,1137969,1934340,2015,2/10/2018 15:50,41.97596842,-87.76801426,"(41.975968415, -87.768014257)"
10224750,HY411632,9/5/2015 3:00,0000X W 103RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,TRUE,512,5,34,49,26,1177871,1836676,2015,2/10/2018 15:50,41.70715492,-87.62424499,"(41.707154919, -87.624244993)"
10224751,HY411566,9/5/2015 12:50,013XX E 47TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,222,2,4,39,08B,1185907,1874105,2015,2/10/2018 15:50,41.80967831,-87.59363893,"(41.809678314, -87.593638934)"
10224752,HY411601,9/3/2015 13:00,020XX W SCHILLER ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1424,14,1,24,6,1162574,1909428,2015,2/10/2018 15:50,41.90712726,-87.67823202,"(41.907127255, -87.678232016)"
10224753,HY411489,9/5/2015 11:45,080XX S JUSTINE ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,FALSE,FALSE,612,6,21,71,04B,1167400,1851512,2015,2/10/2018 15:50,41.74809734,-87.66216618,"(41.748097343, -87.662166183)"
10224754,HY411656,9/5/2015 13:30,007XX N LEAMINGTON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1531,15,28,25,14,1141889,1904448,2015,2/10/2018 15:50,41.89386992,-87.7543411,"(41.893869916, -87.754341096)"
10224756,HY410094,7/8/2015 0:00,103XX S TORRENCE AVE,620,BURGLARY,UNLAWFUL ENTRY,OTHER,FALSE,FALSE,434,4,10,51,5,1195508,1836950,2015,2/10/2018 15:50,41.70749012,-87.55965033,"(41.707490122, -87.559650325)"
10224757,HY411388,9/5/2015 9:55,088XX S PAULINA ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,TRUE,FALSE,2221,22,21,71,5,1166554,1846067,2015,2/10/2018 15:50,41.73317354,-87.66542107,"(41.733173536, -87.665421067)"
10224758,HY411568,9/5/2015 12:35,059XX W GRACE ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1633,16,38,15,08B,1136014,1924656,2015,2/10/2018 15:50,41.94942977,-87.77543553,"(41.949429769, -87.775435529)"
10224759,HY411581,9/4/2015 22:30,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,432,4,10,52,14,1201814,1839027,2015,2/10/2018 15:50,41.71303179,-87.53648781,"(41.713031786, -87.536487809)"
10224761,HY411650,9/2/2015 0:01,049XX W WINNEMAC AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,1623,16,45,12,14,1142583,1933126,2015,2/10/2018 15:50,41.9725523,-87.75107693,"(41.972552295, -87.751076926)"
10224762,HY411563,9/4/2015 15:00,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,432,4,10,52,14,1201814,1839027,2015,2/10/2018 15:50,41.71303179,-87.53648781,"(41.713031786, -87.536487809)"
10224763,HY411606,9/5/2015 13:45,020XX E 71ST ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,331,3,5,43,3,1190856,1858321,2015,2/10/2018 15:50,41.7662476,-87.57599706,"(41.766247597, -87.575997062)"
10224764,HY411550,9/3/2015 21:00,100XX S AVENUE L,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,432,4,10,52,14,1201814,1839062,2015,2/10/2018 15:50,41.71312783,-87.53648662,"(41.713127829, -87.536486623)"
10224765,HY411328,9/5/2015 8:45,077XX S SOUTH SHORE DR,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,421,4,7,43,08A,1197240,1854764,2015,2/10/2018 15:50,41.75633032,-87.5527162,"(41.756330319, -87.552716204)"
10224766,HY411198,9/5/2015 6:20,075XX S PHILLIPS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,421,4,7,43,08B,1193840,1855495,2015,2/10/2018 15:50,41.75842022,-87.56515234,"(41.758420222, -87.565152335)"
10224767,HY410417,9/4/2015 16:15,079XX S SAGINAW AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,422,4,7,46,3,1195224,1852934,2015,2/10/2018 15:50,41.75135862,-87.56016455,"(41.75135862, -87.560164545)"
10224768,HY410651,9/3/2015 20:30,078XX S ESCANABA AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,421,4,7,43,6,1196887,1853400,2015,2/10/2018 15:50,41.75259619,-87.55405513,"(41.752596188, -87.554055126)"
10224769,HY411672,9/5/2015 14:30,005XX S STATE ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,123,1,2,32,6,1176446,1897964,2015,2/10/2018 15:50,41.87536742,-87.62762099,"(41.875367424, -87.627620993)"
10224770,HY411586,9/5/2015 12:40,005XX W 61ST PL,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,711,7,20,68,04B,1173653,1864134,2015,2/10/2018 15:50,41.78259748,-87.63887977,"(41.782597483, -87.638879769)"
10224772,HY411681,9/4/2015 23:00,011XX N ASHLAND AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1213,12,1,24,6,1165522,1907528,2015,2/10/2018 15:50,41.90185123,-87.66745695,"(41.901851233, -87.667456951)"
10224773,HY411685,9/5/2015 7:00,029XX W FIFTH AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,1124,11,2,27,5,1156926,1899592,2015,2/10/2018 15:50,41.88025287,-87.69924661,"(41.880252868, -87.69924661)"
10224775,HY411666,9/5/2015 9:00,068XX S KEATING AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,833,8,13,65,26,1146015,1859113,2015,9/17/2015 11:37,41.76938686,-87.74033684,"(41.769386857, -87.740336842)"
10224776,HY411687,9/5/2015 14:45,071XX S PULASKI RD,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,833,8,13,65,6,1150938,1857056,2015,2/10/2018 15:50,41.76364755,-87.72234469,"(41.763647552, -87.722344693)"
10224778,HY411675,9/5/2015 14:44,047XX N KEELER AVE,560,ASSAULT,SIMPLE,SIDEWALK,TRUE,FALSE,1722,17,39,14,08A,1147525,1931300,2015,2/10/2018 15:50,41.96744801,-87.73295114,"(41.967448012, -87.732951137)"
10224779,HY411651,9/2/2015 12:00,076XX S PHILLIPS AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,VEHICLE NON-COMMERCIAL,FALSE,TRUE,421,4,7,43,26,1193859,1854719,2015,2/10/2018 15:50,41.75629035,-87.5651081,"(41.756290353, -87.565108099)"
10224780,HY411660,9/5/2015 14:30,016XX S HARDING AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,TRUE,FALSE,1014,10,24,29,26,1150326,1891507,2015,2/10/2018 15:50,41.85819795,-87.72369208,"(41.858197949, -87.723692079)"
10224781,HY411499,9/5/2015 11:20,026XX W HOLLYWOOD AVE,320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,2011,20,40,2,3,1157555,1937753,2015,2/10/2018 15:50,41.98495658,-87.69589518,"(41.984956576, -87.69589518)"
10224782,HY411661,9/5/2015 14:35,068XX S PERRY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,TRUE,FALSE,722,7,6,69,18,1176575,1859730,2015,2/10/2018 15:50,41.77044718,-87.62829929,"(41.770447177, -87.628299291)"
10224783,HY411679,9/5/2015 14:40,041XX W CRYSTAL ST,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,TRUE,FALSE,2534,25,37,23,15,1148654,1908016,2015,2/10/2018 15:50,41.90353292,-87.72940299,"(41.903532921, -87.729402988)"
10224784,HY411422,9/4/2015 19:30,004XX W MARQUETTE RD,810,THEFT,OVER $500,OTHER,FALSE,FALSE,722,7,6,68,6,1174441,1860502,2015,2/10/2018 15:50,41.77261337,-87.63609871,"(41.772613371, -87.636098706)"
10224786,HY411514,9/5/2015 12:04,062XX S PRINCETON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,FALSE,FALSE,711,7,20,68,14,1175356,1863632,2015,2/10/2018 15:50,41.78118203,-87.6326511,"(41.781182029, -87.632651097)"
10224787,HY410733,9/4/2015 20:20,060XX S CARPENTER ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,712,7,16,68,08B,1170346,1864847,2015,2/10/2018 15:50,41.78462669,-87.65098343,"(41.78462669, -87.650983434)"
10224788,HY410899,3/27/2014 0:01,035XX S MICHIGAN AVE,5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,POLICE FACILITY/VEH PARKING LOT,TRUE,FALSE,213,2,3,35,26,1177772,1881665,2014,2/10/2018 15:50,41.83061185,-87.62324737,"(41.830611847, -87.623247369)"
10224789,HY411717,9/5/2015 15:12,052XX W QUINCY ST,1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,STREET,TRUE,FALSE,1522,15,29,25,15,1141442,1898499,2015,2/10/2018 15:50,41.87755339,-87.75612976,"(41.877553391, -87.756129762)"
10224790,HY411713,9/1/2015 9:00,0000X W ILLINOIS ST,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,RESTAURANT,FALSE,FALSE,1831,18,42,8,10,1176121,1903605,2015,2/10/2018 15:50,41.89085397,-87.62864418,"(41.890853973, -87.628644182)"
10224791,HY411719,9/5/2015 15:28,064XX S GREEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,TRUE,TRUE,723,7,16,68,08B,1171743,1862151,2015,2/10/2018 15:50,41.77719802,-87.64594049,"(41.777198018, -87.645940487)"
10224792,HY411709,9/5/2015 15:20,030XX W FLOURNOY ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,TRUE,FALSE,1134,11,28,27,18,1156237,1896878,2015,2/10/2018 15:50,41.87281932,-87.70184987,"(41.87281932, -87.701849872)"
10224794,HY411721,9/5/2015 15:44,074XX S WABASH AVE,143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,RESIDENCE,FALSE,FALSE,323,3,6,69,15,1178006,1855786,2015,2/10/2018 15:50,41.7595921,-87.62317321,"(41.759592098, -87.623173211)"
10224795,HY409178,9/3/2015 17:55,027XX W POLK ST,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,FALSE,FALSE,1135,11,2,27,15,1158219,1896257,2015,2/10/2018 15:50,41.87107499,-87.69458998,"(41.871074992, -87.694589977)"
10224797,HY411683,9/5/2015 14:00,012XX W WILSON AVE,1330,CRIMINAL TRESPASS,TO LAND,RESTAURANT,FALSE,FALSE,1913,19,46,3,26,1167243,1930683,2015,2/10/2018 15:50,41.9653529,-87.66046802,"(41.965352898, -87.66046802)"
10224800,HY411723,9/5/2015 14:30,037XX N BROADWAY,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1925,19,46,6,7,1170388,1925225,2015,2/10/2018 15:50,41.95030761,-87.64906489,"(41.950307614, -87.649064886)"
10224801,HY411697,9/5/2015 15:05,007XX E 90TH PL,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,633,6,6,44,08B,1182703,1845129,2015,2/10/2018 15:50,41.73024043,-87.60628895,"(41.730240434, -87.606288953)"
11645527,JC212744,2/2/2015 10:00,069XX W ARCHER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,811,8,23,56,11,,,2015,4/6/2019 16:04,,,
10224802,HY411753,9/5/2015 15:00,051XX N AVERS AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,1712,17,39,14,26,1149784,1933967,2015,2/10/2018 15:50,41.9747227,-87.72457529,"(41.974722701, -87.724575286)"
10224803,HY411745,9/4/2015 11:17,012XX N LA SALLE DR,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1821,18,42,8,6,1174911,1908547,2015,2/10/2018 15:50,41.90444226,-87.63293969,"(41.90444226, -87.63293969)"
10224805,HY411740,9/5/2015 15:45,004XX S STATE ST,890,THEFT,FROM BUILDING,LIBRARY,FALSE,FALSE,113,1,2,32,6,1176436,1898416,2015,2/10/2018 15:50,41.87660796,-87.62764406,"(41.876607964, -87.627644063)"
10224806,HY411696,9/3/2015 13:30,010XX N HAMLIN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,1112,11,27,23,11,1150857,1906759,2015,2/10/2018 15:50,41.90004075,-87.72134375,"(41.900040745, -87.721343753)"
10224807,HY411718,9/5/2015 15:30,025XX W HARRISON ST,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1135,11,2,28,6,1159746,1897284,2015,2/10/2018 15:50,41.87386186,-87.68895549,"(41.873861861, -87.68895549)"
10224809,HY411732,9/5/2015 15:40,122XX S EGGLESTON AVE,2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,523,5,34,53,18,1175503,1823842,2015,9/17/2015 11:37,41.67198966,-87.6332985,"(41.671989656, -87.633298499)"
10224810,HY411746,9/5/2015 15:15,114XX S ST LAWRENCE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,531,5,9,50,08B,1182290,1829250,2015,2/10/2018 15:50,41.68667599,-87.60829167,"(41.686675992, -87.608291666)"
10224811,HY410834,9/4/2015 8:25,001XX E 110TH ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,513,5,9,49,5,1179338,1832056,2015,2/10/2018 15:50,41.69444373,-87.6190132,"(41.694443727, -87.619013197)"
10224812,HY411619,9/5/2015 0:30,084XX S SAGINAW AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,423,4,7,46,6,1195296,1849589,2015,2/10/2018 15:50,41.7421779,-87.56001087,"(41.742177899, -87.560010869)"
10224813,HY411765,8/30/2015 16:00,014XX S MICHIGAN AVE,820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,FALSE,FALSE,131,1,2,33,6,1177452,1893551,2015,2/10/2018 15:50,41.86323513,-87.62406127,"(41.863235129, -87.624061274)"
10224814,HY411327,9/4/2015 23:00,057XX N SPAULDING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1711,17,39,13,14,1153345,1937792,2015,2/10/2018 15:50,41.98514853,-87.71137817,"(41.985148529, -87.711378169)"
10224815,HY411431,9/5/2015 10:53,0000X W 114TH PL,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,FALSE,FALSE,522,5,34,49,04B,1178072,1829048,2015,2/10/2018 15:50,41.68621805,-87.62373907,"(41.686218054, -87.623739069)"
10224816,HY411658,9/5/2015 11:00,034XX S DR MARTIN LUTHER KING JR DR,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,211,2,4,35,6,1179476,1882211,2015,2/10/2018 15:50,41.83207129,-87.61697868,"(41.832071291, -87.616978684)"
10224819,HY411778,9/5/2015 15:02,020XX E 79TH ST,850,THEFT,ATTEMPT THEFT,DRUG STORE,FALSE,FALSE,414,4,8,46,6,1191073,1852990,2015,2/10/2018 15:50,41.75161364,-87.57537386,"(41.751613643, -87.575373855)"
10224820,HY411701,9/5/2015 12:00,010XX N HAMLIN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,FALSE,FALSE,1112,11,27,23,11,1150857,1906759,2015,2/10/2018 15:50,41.90004075,-87.72134375,"(41.900040745, -87.721343753)"
10224821,HY411725,9/5/2015 15:00,115XX S INDIANA AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,532,5,9,53,6,1179641,1828625,2015,2/10/2018 15:50,41.68502167,-87.61800815,"(41.685021672, -87.618008151)"
10224822,HY411777,9/5/2015 16:16,057XX S SANGAMON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,712,7,16,68,18,1170953,1866868,2015,2/10/2018 15:50,41.7901593,-87.64869892,"(41.790159304, -87.648698923)"
10224823,HY411707,9/5/2015 12:00,014XX N HALSTED ST,820,THEFT,$500 AND UNDER,STREET,TRUE,FALSE,1822,18,27,8,6,1170754,1909471,2015,2/10/2018 15:50,41.90706989,-87.64818226,"(41.90706989, -87.648182264)"
10224825,HY411703,9/5/2015 0:00,106XX S SAWYER AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2211,22,19,74,6,1156566,1833923,2015,2/10/2018 15:50,41.70005512,-87.70233824,"(41.700055116, -87.702338239)"
10224826,HY411749,9/5/2015 15:55,049XX W AINSLIE ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1623,16,45,12,5,1142367,1932122,2015,2/10/2018 15:50,41.96980126,-87.75189627,"(41.969801264, -87.751896265)"
10224829,HY411722,9/4/2015 17:00,062XX W GRAND AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,FALSE,2512,25,29,19,26,1134250,1914563,2015,2/10/2018 15:50,41.92176477,-87.78215838,"(41.921764773, -87.782158383)"
10224830,HY411557,9/4/2015 23:00,106XX S PRAIRIE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,512,5,9,49,26,1179798,1834481,2015,2/10/2018 15:50,41.70108778,-87.6172552,"(41.701087782, -87.617255204)"
10224831,HY411663,9/4/2015 21:45,015XX W RANDOLPH ST,460,BATTERY,SIMPLE,PARK PROPERTY,FALSE,FALSE,1224,12,27,28,08B,1166342,1901369,2015,2/10/2018 15:50,41.88493299,-87.66462131,"(41.884932988, -87.664621314)"
10224832,HY411712,9/4/2015 17:00,013XX W 50TH ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,933,9,16,61,6,1168281,1871609,2015,2/10/2018 15:50,41.80322713,-87.65835991,"(41.803227125, -87.658359911)"
10224834,HY411767,9/5/2015 14:00,051XX S PAULINA ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,932,9,16,61,6,1165878,1870680,2015,2/10/2018 15:50,41.80072929,-87.66719926,"(41.800729285, -87.667199258)"
10224835,HY411770,9/5/2015 15:45,008XX S CALIFORNIA AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,ALLEY,TRUE,FALSE,1135,11,28,27,18,1157831,1896140,2015,2/10/2018 15:50,41.87076185,-87.69601766,"(41.870761846, -87.696017659)"
10224836,HY411752,9/5/2015 1:00,006XX N NOBLE ST,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1215,12,27,24,6,1166947,1904303,2015,2/10/2018 15:50,41.89297114,-87.66231542,"(41.89297114, -87.662315415)"
10224837,HY411330,8/25/2015 12:00,065XX N MAPLEWOOD AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2412,24,50,2,6,1158133,1943359,2015,2/10/2018 15:50,42.00032784,-87.69361533,"(42.000327844, -87.693615326)"
10224840,HY411786,9/5/2015 16:15,023XX W WARREN BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),CHA PARKING LOT/GROUNDS,TRUE,FALSE,1223,12,2,28,18,1160779,1900294,2015,2/10/2018 15:50,41.88210023,-87.68507933,"(41.882100231, -87.685079332)"
11034701,JA366925,1/1/2001 11:00,016XX E 86TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,412,4,8,45,11,,,2001,8/5/2017 15:50,,,
10224841,HY411731,9/5/2015 15:30,025XX W CERMAK RD,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,1034,10,25,31,6,1159734,1889313,2015,2/10/2018 15:50,41.85198889,-87.68921912,"(41.851988885, -87.689219118)"
10224843,HY411734,9/5/2015 15:43,101XX S PROSPECT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2213,22,19,72,08B,1167466,1837422,2015,2/10/2018 15:50,41.70943086,-87.66232682,"(41.709430861, -87.66232682)"
10224845,HY411825,9/5/2015 16:00,001XX W ELM ST,890,THEFT,FROM BUILDING,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,1824,18,42,8,6,1175121,1908069,2015,2/10/2018 15:50,41.9031259,-87.63218266,"(41.903125898, -87.632182661)"
10224846,HY411839,9/5/2015 16:00,015XX S HARDING AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,FALSE,FALSE,1014,10,24,29,7,1150299,1892186,2015,2/10/2018 15:50,41.86006173,-87.72377349,"(41.860061733, -87.723773492)"
10224847,HY411834,9/4/2015 1:00,027XX N SACRAMENTO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1411,14,35,22,14,1155906,1918067,2015,2/10/2018 15:50,41.9309705,-87.70249306,"(41.930970495, -87.702493061)"
12014684,JD189901,3/17/2020 21:30,039XX N LECLAIRE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1634,16,45,15,6,1141659,1925649,2020,3/25/2020 15:45,41.95205195,-87.75466037,"(41.952051946, -87.754660372)"
10224848,HY411832,9/4/2015 23:08,062XX W 64TH PL,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,812,8,13,64,26,1135842,1861096,2015,2/10/2018 15:50,41.775015,-87.7775802,"(41.775015003, -87.777580203)"
10224849,HY411821,9/5/2015 16:00,024XX N JANSSEN AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1932,19,32,7,5,1166229,1916376,2015,2/10/2018 15:50,41.92611561,-87.66460666,"(41.926115609, -87.664606657)"
10224850,HY411807,9/4/2015 17:00,015XX S STATE ST,890,THEFT,FROM BUILDING,RESIDENCE-GARAGE,FALSE,FALSE,131,1,3,33,6,1176584,1892788,2015,2/10/2018 15:50,41.86116104,-87.62727063,"(41.861161041, -87.627270627)"
10224851,HY411708,9/5/2015 14:55,035XX N CLARK ST,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1924,19,44,6,6,1168463,1923924,2015,2/10/2018 15:50,41.94677957,-87.65617875,"(41.946779572, -87.65617875)"
10224852,HY411791,9/5/2015 16:25,034XX N WESTERN AVE,1330,CRIMINAL TRESPASS,TO LAND,GROCERY FOOD STORE,TRUE,FALSE,1921,19,47,5,26,1159771,1922681,2015,2/10/2018 15:50,41.94355269,-87.68816234,"(41.943552694, -87.688162342)"
10224853,HY411790,9/5/2015 16:15,041XX W FIFTH AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,TRUE,FALSE,1132,11,24,26,17,1148735,1896483,2015,9/17/2015 11:37,41.87188354,-87.72940361,"(41.871883543, -87.729403606)"
10224854,HY411699,9/5/2015 12:30,080XX S BISHOP ST,2017,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE,TRUE,FALSE,612,6,21,71,18,1168064,1851469,2015,2/10/2018 15:50,41.74796511,-87.6597343,"(41.747965107, -87.6597343)"
10224855,HY411771,9/5/2015 16:00,009XX N DAMEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1212,12,32,24,14,1162894,1906466,2015,2/10/2018 15:50,41.89899259,-87.67713975,"(41.898992594, -87.677139749)"
10224857,HY411782,9/5/2015 16:15,056XX W GRAND AVE,460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,2515,25,29,19,08B,1138435,1913561,2015,2/10/2018 15:50,41.91894033,-87.76680564,"(41.91894033, -87.766805639)"
10224858,HY411804,9/5/2015 16:42,077XX S LUELLA AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,414,4,7,43,08B,1192547,1853966,2015,2/10/2018 15:50,41.75425611,-87.5699407,"(41.754256108, -87.569940704)"
